time,particle_id,x,y,mesh_index,mesh_index_original
300000,257551,-0.0015986,0.00237506,1879,2076
300000,289897,-0.000519536,0.00173691,2095,2277
300000,297500,0.00143996,-0.00152037,2492,2642
300000,298001,0.000828237,-0.00136088,544,619
300000,298209,-3.11531e-07,-0.000680993,1754,1956
300000,299406,0.00126856,-0.00136013,523,590
300000,299522,0.000797031,-0.00117948,273,300
300000,299533,0.00182885,0.001282,469,525
300000,299602,-0.000551672,-0.0010547,3984,2992
300000,299610,0.000839831,-0.00111085,982,1120
300000,299633,0.00131845,0.000400612,2728,2861
300000,299654,0.0016944,0.00128505,3153,1173
300000,299701,0.00331,-0.000540449,2444,2600
300000,299702,0.00103602,-0.00132022,1950,2146
300000,299708,0.00219659,-0.000656302,3589,3670
300000,299710,0.00168814,-0.000881492,551,575
300000,299711,0.00114459,-0.00134696,1340,1516
300000,299712,0.000938,-0.0013718,1949,2145
300000,299721,0.00195089,-0.000504246,811,1693
300000,299764,0.00177766,0.000769917,2437,2591
300000,299782,0.00224294,0.000418197,351,389
300000,299797,0.00163865,0.00117224,1029,1170
300000,299800,0.000893689,-0.0010186,854,969
300000,299801,0.00114469,0.000627005,21,1532
300000,299802,0.00185322,-9.2387e-05,4122,2998
300000,299803,-0.000692745,-0.000990596,1393,549
300000,299804,0.00202423,-0.000478904,1984,2177
300000,299805,0.0015792,7.27877e-05,4129,4159
300000,299806,0.00174268,8.24038e-05,2422,2579
300000,299807,0.000635261,-0.000792942,924,1054
300000,299809,0.00074171,-0.00077923,1021,1162
300000,299810,0.00185093,6.84089e-05,3975,4018
300000,299812,-0.000356178,0.000100844,645,735
300000,299813,-0.000762983,-0.00102057,1209,1377
300000,299814,-0.00028541,-0.000510442,842,958
300000,299815,-0.000100101,-0.0004519,3354,1388
300000,299816,0.00137219,-0.000384033,2282,2444
300000,299817,0.0027323,0.000142552,2911,3036
300000,299818,0.0014307,-0.000293305,1997,2190
300000,299819,-0.000196598,-0.00056364,838,954
300000,299820,0.0023233,0.000281491,1608,1817
300000,299821,0.00120881,0.000695716,21,1532
300000,299822,0.00275691,0.000134499,2911,3036
300000,299823,0.000736763,-0.000811341,924,1054
300000,299824,-0.000804278,-0.000147933,642,732
300000,299825,0.00117249,0.00117184,2630,2769
300000,299827,0.00207274,-1.85032e-05,2874,916
300000,299829,0.0010484,0.00125909,2540,2684
300000,299830,0.0033238,-7.51998e-05,3603,1721
300000,299831,-0.00113237,0.00133599,1027,1826
300000,299832,0.00158595,0.000600727,2269,2433
300000,299833,0.00270126,0.000385991,104,111
300000,299834,0.00148386,0.000673636,3480,1908
300000,299835,0.00349682,-4.63628e-05,1522,1613
300000,299837,0.00225553,-0.000610107,1979,2172
300000,299838,0.00368595,0.000306753,835,6
300000,299839,0.00167674,0.000603127,4315,4332
300000,299840,0.00130993,0.000407773,2728,2861
300000,299841,0.00270852,0.000213682,847,962
300000,299842,0.000702108,0.00112704,3188,3294
300000,299843,0.00126388,-0.000344908,2282,2444
300000,299845,0.000924341,0.000633279,1641,1848
300000,299847,0.00103069,0.000829964,294,324
300000,299848,0.00104549,0.00103509,2765,2760
300000,299849,0.00075377,0.000753422,4447,4452
300000,299850,0.00206461,-5.53388e-05,2879,917
300000,299851,0.00279592,0.00015192,3128,3239
300000,299853,0.00167949,0.000537945,1904,2102
300000,299854,0.00171609,0.000247347,484,544
300000,299855,0.00160789,0.000762298,1714,1918
300000,299856,0.000999578,0.00102154,691,790
300000,299857,0.00109953,0.00108977,2622,2766
300000,299858,0.0011554,0.000638482,21,1532
300000,299859,0.000778365,-5.45032e-05,4346,3554
300000,299860,0.000988954,0.000847193,1274,1448
300000,299861,0.00103203,0.00100075,2766,2896
300000,299862,0.0022601,0.000292982,2680,2815
300000,299863,0.00293223,0.000188,3418,3511
300000,299864,-0.00166289,0.00126948,41,39
300000,299865,-0.000244588,0.000638,2474,2627
300000,299866,0.00149462,0.000638432,3481,3564
300000,299867,0.00209791,0.000219013,1282,1456
300000,299868,0.00138411,0.000612175,173,3567
300000,299869,0.00307629,0.000396629,2781,909
300000,299870,0.00205974,5.56281e-05,4043,4081
300000,299871,0.00111234,0.0011343,2622,2766
300000,299872,0.00259328,0.000188035,1509,1706
300000,299873,0.00301419,-0.000387746,1757,1959
300000,299874,0.00359382,-4.00543e-05,1424,1612
300000,299875,0.00144398,0.000785515,2271,416
300000,299876,0.00143687,0.00039221,3024,1045
300000,299877,0.00225089,0.00026905,3646,1816
300000,299878,0.00159137,0.00068429,376,418
300000,299879,0.00318808,-1.74095e-05,698,797
300000,299880,0.00141957,0.000753107,3929,3977
300000,299881,-0.00211485,0.000317785,2711,2843
300000,299882,0.00349577,-4.65384e-05,1522,1613
300000,299883,-0.00014222,-0.000620847,2318,2482
300000,299884,0.00139091,4.52366e-05,1434,1625
300000,299885,0.00122606,0.0010919,2617,2757
300000,299886,0.00159013,0.000980035,3326,3418
300000,299887,0.00229091,0.000338732,1610,29
300000,299889,0.00118428,0.00126225,606,687
300000,299891,0.00172677,0.000365416,302,335
300000,299892,0.00167786,0.000867729,3714,3784
300000,299893,0.00126069,0.00113879,2626,2765
300000,299895,0.00246452,0.000293,3308,1349
300000,299896,0.00161937,0.000550129,165,175
300000,299897,0.00117591,0.00116538,2627,2767
300000,299898,0.000888498,0.00135568,3191,1215
300000,299899,0.00204286,0.000226991,3921,3970
