time,particle_id,x,y,mesh_index,mesh_index_original
600000,557968,-0.00152572,0.0026791,1303,1486
600000,593526,-0.000446174,0.00233837,355,394
600000,593967,-0.00144839,0.00209899,3568,3675
600000,595178,-0.00127083,0.00224313,1808,125
600000,596476,0.000646244,0.000639772,1289,1474
600000,598751,-0.00217497,-4.15888e-05,2924,3064
600000,599673,0.00137574,0.000874589,2381,854
600000,599741,0.00123273,-0.00132823,905,1039
600000,599761,0.00299982,-0.000386318,1750,1960
600000,599780,0.00226937,-0.000633433,657,3861
600000,599810,0.00261192,-0.000347763,3769,4415
600000,599821,0.0011745,-0.00128353,971,1464
600000,599827,0.00106502,-0.00130025,184,197
600000,599831,0.00103623,-0.00116341,1955,2160
600000,599853,0.00165239,0.00118726,1021,1170
600000,599869,0.00182838,0.000820386,484,545
600000,599871,0.000974108,-0.00124687,184,197
600000,599878,0.00164625,0.00105365,4276,4324
600000,599880,0.00304303,-0.000404999,1365,1555
600000,599882,0.00291429,0.000239444,1292,1976
600000,599884,0.00163394,0.000590897,3541,3648
600000,599885,0.00253367,0.000373464,1597,1883
600000,599886,0.00298857,0.000439487,1767,2997
600000,599887,0.00158782,0.000784552,296,328
600000,599892,0.00168091,0.000804337,4359,4400
600000,599894,0.0031205,0.00057184,2066,2261
600000,599895,0.00167622,0.00076641,1194,1371
600000,599896,0.00205097,0.000331005,634,724
600000,599897,0.00146809,0.000649384,3456,3564
600000,599898,0.00164873,0.000838579,3689,3784
600000,599899,0.00181855,0.000525174,3750,3841
600000,599900,0.000636846,0.0003351,476,2316
600000,599901,-0.000689425,-0.000859012,351,390
600000,599902,0.0022506,0.000214681,3287,3405
600000,599903,0.00283928,4.4731e-05,4405,4441
600000,599904,0.00164394,-0.000315759,3938,4008
600000,599905,0.00104827,0.000668128,1834,514
600000,599906,0.00145297,0.00121478,1080,1241
600000,599908,0.00271562,0.000262708,841,962
600000,599909,0.00167267,0.000930216,1719,1933
600000,599910,0.00213351,6.4644e-05,1599,4339
600000,599911,0.00130327,9.29469e-05,3739,2086
600000,599912,0.0026812,-0.000154743,1833,2039
600000,599913,-0.00233219,0.000254362,419,465
600000,599915,0.00154326,0.000618351,2259,2433
600000,599916,0.00144208,0.000631835,667,3565
600000,599917,0.0011105,0.00112788,2609,2766
600000,599918,0.000680818,0.000768763,4415,4452
600000,599919,0.00121929,0.0011847,2612,686
600000,599920,0.00346459,-9.79351e-05,1416,1612
600000,599921,0.00149591,0.000115278,3745,3837
600000,599922,0.000857171,0.000358291,2131,2315
600000,599923,0.000174291,0.000325124,658,752
600000,599924,0.00103112,0.00094118,378,2753
600000,599925,0.00181794,0.000195611,3262,3381
600000,599926,0.000439433,0.000891362,1487,1690
