time,particle_id,x,y,mesh_index,mesh_index_original
9000,7018,0.00292042,-0.000298897,2854,3130
9000,7138,-0.00181525,0.000445196,4205,3911
9000,7152,-0.00102368,0.0010948,3481,3738
9000,7153,-0.00168087,0.00128531,38,38
9000,7163,-0.00179626,0.00131876,41,42
9000,7176,-0.00143556,0.000950942,1242,3182
9000,7180,-0.00156988,0.000817504,3523,1901
9000,7186,-0.00183744,0.0013307,41,42
9000,7209,-0.00137998,0.000593097,2902,3176
9000,7230,-0.00111863,0.000727267,1755,2073
9000,7254,-0.00276471,0.00161247,46,50
9000,7255,-0.00240962,0.00129892,1151,2408
9000,7270,-0.00244445,0.00133381,1151,2408
9000,7288,-0.00271353,0.00101325,1303,3641
9000,7293,-0.00239436,0.00128362,1151,2408
9000,7294,-0.00273381,0.00104642,1303,3641
9000,7385,-0.0029414,0.00138603,3094,3362
9000,7391,-0.0029414,0.00138603,3094,3362
9000,7395,-0.00293091,0.00136887,3094,3362
9000,8300,-0.00318415,-0.00211295,2603,776
9000,8301,-0.00320558,-0.00219357,245,1535
9000,8302,-0.00318415,-0.00211295,2603,776
9000,8303,-0.00318415,-0.00211295,2603,776
9000,8304,-0.0031909,-0.00217198,1264,290
9000,8305,-0.00318415,-0.00211295,2603,776
9000,8306,-0.00318415,-0.00211295,2603,776
9000,8307,-0.0031909,-0.00217198,1264,290
9000,8308,-0.00320539,-0.00218609,1265,1532
9000,8309,-0.00318415,-0.00211295,2603,776
9000,8310,-0.00318415,-0.00211295,2603,776
9000,8311,-0.00318415,-0.00211295,2603,776
9000,8312,-0.00318415,-0.00211295,2603,776
9000,8313,-0.00318415,-0.00211295,2603,776
9000,8314,-0.00318415,-0.00211295,2603,776
9000,8315,-0.00318415,-0.00211295,2603,776
9000,8316,-0.00318415,-0.00211295,2603,776
9000,8317,-0.0031909,-0.00217198,1264,290
9000,8318,-0.0031909,-0.00217198,1264,290
9000,8319,-0.00320539,-0.00218609,1265,1532
9000,8320,-0.00318415,-0.00211295,2603,776
9000,8321,-0.0031909,-0.00217198,1264,290
9000,8322,-0.0031909,-0.00217198,1264,290
9000,8323,-0.00318415,-0.00211295,2603,776
9000,8324,-0.00318415,-0.00211295,2603,776
9000,8325,-0.00318415,-0.00211295,2603,776
9000,8326,-0.00318415,-0.00211295,2603,776
9000,8327,-0.0031909,-0.00217198,1264,290
9000,8328,-0.00331065,-0.00220874,3696,2885
9000,8329,-0.0031909,-0.00217198,1264,290
9000,8330,-0.0031909,-0.00217198,1264,290
9000,8331,-0.0031909,-0.00217198,1264,290
9000,8332,-0.00318415,-0.00211295,2603,776
9000,8333,-0.00318415,-0.00211295,2603,776
9000,8334,-0.0031909,-0.00217198,1264,290
9000,8335,-0.00321107,-0.00177396,1293,1566
9000,8336,-0.00309159,-0.00181816,2228,2524
9000,8337,-0.00321107,-0.00177396,1293,1566
9000,8338,-0.0030401,-0.00177003,6,1200
9000,8339,-0.00321107,-0.00177396,1293,1566
9000,8340,-0.0030401,-0.00177003,6,1200
9000,8341,-0.00298406,-0.00175135,6,1200
9000,8342,-0.00321107,-0.00177396,1293,1566
9000,8343,-0.00321107,-0.00177396,1293,1566
9000,8344,-0.00330874,-0.00180717,412,488
9000,8345,-0.00330874,-0.00180717,412,488
9000,8346,-0.0030401,-0.00177003,6,1200
9000,8347,-0.00321107,-0.00177396,1293,1566
9000,8348,-0.00321107,-0.00177396,1293,1566
9000,8349,-0.00330874,-0.00180717,412,488
9000,8350,-0.00330874,-0.00180717,412,488
9000,8351,-0.00321107,-0.00177396,1293,1566
9000,8352,-0.00330874,-0.00180717,412,488
9000,8353,-0.00321107,-0.00177396,1293,1566
9000,8354,-0.00330874,-0.00180717,412,488
9000,8355,-0.00309159,-0.00181816,2228,2524
9000,8356,-0.00298406,-0.00175135,6,1200
9000,8357,-0.00321107,-0.00177396,1293,1566
9000,8358,-0.00321107,-0.00177396,1293,1566
9000,8359,-0.00321107,-0.00177396,1293,1566
9000,8360,-0.00298406,-0.00175135,6,1200
9000,8361,-0.00330874,-0.00180717,412,488
9000,8362,-0.00309159,-0.00181816,2228,2524
9000,8363,-0.00330874,-0.00180717,412,488
9000,8364,-0.00321107,-0.00177396,1293,1566
9000,8365,-0.00321107,-0.00177396,1293,1566
9000,8366,-0.0030401,-0.00177003,6,1200
9000,8367,-0.00330173,-0.00218528,3696,2885
9000,8368,-0.00330173,-0.00218528,3696,2885
9000,8369,-0.00330173,-0.00218528,3696,2885
