# time=1e+06
x1 y1 x2 y2 aperture velocity
0.0443843 -0.00631477 0.05 -0.010437 7.41558e-05 0.0510426
0.0440694 -0.0250904 0.05 -0.0303778 0.000177318 0.48825
-0.05 0.000316541 -0.04286 -0.00160796 2.22582e-05 0.00340257
-0.05 -0.0312056 -0.04959 -0.0314953 0.000373995 0.467551
0.0474957 0.00801726 0.05 0.0066314 0.000252323 1.06486
0.0458809 0.000579001 0.05 -0.00302134 0.000330968 1.20358
-0.05 0.0299759 -0.0423835 0.0272751 0.000131725 0.118434
-0.05 -0.0125039 -0.0419318 -0.0146018 4.557e-05 0.0131049
0.0450408 -0.0429945 0.05 -0.0416201 0.000104191 0.272142
0.0477065 0.0302897 0.05 0.0347524 3.30499e-05 0.0133511
-0.05 -0.043985 -0.0489825 -0.0437807 0.000111127 0.0401002
-0.05 0.0229315 -0.0399407 0.0178426 3.11145e-05 0.00623606
-0.05 0.0272741 -0.046455 0.0239504 0.000138849 0.101377
-0.05 -0.00702845 -0.0488496 -0.00688577 9.48929e-05 0.0625387
0.0497351 -0.0141077 0.05 -0.014426 3.15209e-05 0.00925467
0.0490599 0.0294953 0.05 0.0313998 7.81641e-05 0.0920447
-0.05 0.025353 -0.046455 0.0239504 0.000117832 0.0930621
-0.05 0.0444191 -0.0461801 0.0430894 0.000254947 0.481191
-0.05 0.0366396 -0.0228218 0.0300215 0.000118634 0.106327
-0.05 0.0132453 -0.0320246 0.00808241 6.46759e-05 0.0287967
-0.05 0.00378124 -0.039767 0.00115824 2.26532e-05 0.00354501
0.0487448 0.0137711 0.05 0.0195529 7.79023e-05 0.0429724
-0.05 -0.0286948 -0.0496576 -0.0281995 4.88291e-05 0.00778569
-0.05 -0.0319792 -0.04959 -0.0314953 0.000247306 0.161846
-0.05 0.0181997 -0.0357353 0.0138996 0.000544808 2.0529
-0.05 -0.027879 -0.0496576 -0.0281995 0.000102473 0.0440163
-0.05 -0.00799343 -0.0488104 -0.00692954 0.00017642 0.162366
-0.05 -0.00560268 -0.0488496 -0.00688577 4.70573e-05 0.010345
0.0487448 0.0137711 0.05 0.0125904 7.84648e-05 0.14968
-0.05 -0.0440359 -0.0489825 -0.0437807 9.49983e-05 0.0289918
-0.05 -0.0299924 -0.048906 -0.0306882 0.000111152 0.0545999
-0.05 0.0415005 -0.0461801 0.0430894 3.30736e-05 0.00791728
0.0453562 -0.0476437 0.05 -0.044689 8.86444e-05 0.183049
-0.05 -0.00877678 -0.0433793 -0.0129873 2.93384e-05 0.00471066
