# time=400000
x1 y1 x2 y2 aperture velocity
0.0443843 -0.00631477 0.05 -0.010437 5.25066e-05 0.0765731
0.0440694 -0.0250904 0.05 -0.0303778 0.00016019 0.392722
-0.05 0.000316541 -0.04286 -0.00160796 2.22582e-05 0.00242818
-0.05 -0.0312056 -0.04959 -0.0314953 0.000330696 0.343231
0.0474957 0.00801726 0.05 0.0066314 0.000143259 0.286632
0.0458809 0.000579001 0.05 -0.00302134 0.00021852 0.705035
-0.05 0.0299759 -0.0423835 0.0272751 0.000128357 0.0818617
-0.05 -0.0125039 -0.0445168 -0.0139297 4.557e-05 0.00955371
0.0450408 -0.0429945 0.05 -0.0416201 9.8998e-05 0.256174
0.0477065 0.0302897 0.05 0.0347524 3.30357e-05 0.00739467
-0.05 -0.043985 -0.0489825 -0.0437807 0.000111059 0.0448378
-0.05 0.0229315 -0.0399407 0.0178426 3.11145e-05 0.00444945
-0.05 0.0272741 -0.046455 0.0239504 0.000135527 0.0691444
-0.05 -0.00702845 -0.0488496 -0.00688577 9.41008e-05 0.044423
0.0497351 -0.0141077 0.05 -0.014426 2.99523e-05 0.017086
0.0490599 0.0294953 0.05 0.0313998 7.28522e-05 0.033259
-0.05 0.025353 -0.046455 0.0239504 0.000116249 0.0648446
-0.05 0.0444191 -0.0461801 0.0430894 0.000325503 1.32468
-0.05 0.0366396 -0.0456549 0.0355815 0.000117938 0.100081
-0.05 0.0132453 -0.0320246 0.00808241 6.46759e-05 0.0205054
-0.05 0.00378124 -0.039767 0.00115824 2.26532e-05 0.00252708
0.0487448 0.0137711 0.05 0.0195529 7.61311e-05 0.0173108
-0.05 -0.0286948 -0.0496576 -0.0281995 4.88291e-05 0.00564601
-0.05 -0.027879 -0.0496576 -0.0281995 0.00010176 0.0314768
-0.05 -0.00799343 -0.0488104 -0.00692954 0.000169482 0.108233
-0.05 -0.00560268 -0.0488496 -0.00688577 4.70573e-05 0.00747263
0.0487448 0.0137711 0.05 0.0125904 7.90621e-05 0.0640997
-0.05 -0.0440359 -0.0489825 -0.0437807 9.59352e-05 0.0331003
-0.05 -0.0299924 -0.048906 -0.0306882 0.000110135 0.041639
-0.05 0.0415005 -0.0461801 0.0430894 3.30736e-05 0.0133756
0.0453562 -0.0476437 0.05 -0.044689 8.44335e-05 0.173151
-0.05 -0.00877678 -0.043752 -0.0127503 2.93384e-05 0.00347592
-0.05 0.0282563 -0.0448113 0.0233 9.34728e-05 0.0327069
-0.05 0.0205776 -0.0374354 0.0154937 8.40817e-05 0.0337707
0.0490599 0.0294953 0.05 0.0289434 3.5984e-05 0.0158095
0.0429283 0.0469867 0.05 0.046622 3.09266e-05 0.0217412
