# time=1e+06
x1 y1 x2 y2 aperture velocity
0.0451954 -0.00691014 0.05 -0.010437 8.49246e-05 0.0680126
0.0440694 -0.0250904 0.05 -0.0303778 0.000191418 0.35907
-0.05 0.000316541 -0.0492208 0.00010652 2.22582e-05 0.00376842
-0.05 -0.0312056 -0.04959 -0.0314953 0.000365478 0.463343
0.0474957 0.00801726 0.05 0.0066314 0.000115931 0.184475
0.0458809 0.000579001 0.05 -0.00302134 0.000220772 0.465177
-0.05 0.0299759 -0.0423835 0.0272751 0.000131291 0.121748
-0.05 -0.0125039 -0.0445168 -0.0139297 4.557e-05 0.0137661
0.0450408 -0.0429945 0.05 -0.0416201 0.000105891 0.184417
0.0483535 0.0315485 0.05 0.0347524 4.11275e-05 0.0113699
-0.05 -0.043985 -0.0489825 -0.0437807 0.000111137 0.0418919
-0.05 0.0229315 -0.0470415 0.0214348 3.11145e-05 0.00658452
-0.05 0.0272741 -0.0491836 0.0265087 0.000138546 0.106252
-0.05 -0.00702845 -0.0488496 -0.00688577 9.53999e-05 0.0740825
0.0497351 -0.0141077 0.05 -0.014426 3.29519e-05 0.00989937
0.0490599 0.0294953 0.05 0.0313998 7.60827e-05 0.0691327
-0.05 0.025353 -0.0484341 0.0247334 0.000118364 0.09881
-0.05 0.0444191 -0.0461801 0.0430894 0.00023648 0.37181
-0.05 0.0366396 -0.0456549 0.0355815 0.000118213 0.0962516
-0.05 0.0132453 -0.0445801 0.0116886 6.46759e-05 0.0311856
-0.05 0.00378124 -0.0477786 0.00321183 2.26532e-05 0.0039302
0.0487448 0.0137711 0.05 0.0195529 7.65267e-05 0.0339943
-0.05 -0.0286948 -0.0496576 -0.0281995 4.88291e-05 0.00794839
-0.05 -0.0319792 -0.04959 -0.0314953 0.000245672 0.165741
-0.05 0.0181997 -0.0450451 0.0167061 0.000503298 1.86904
-0.05 -0.027879 -0.0496576 -0.0281995 0.000101904 0.0444382
-0.05 -0.00799343 -0.0488104 -0.00692954 0.000178001 0.193678
-0.05 -0.00560268 -0.0488496 -0.00688577 4.70573e-05 0.0121247
0.0487448 0.0137711 0.05 0.0125904 7.71633e-05 0.118666
-0.05 -0.0440359 -0.0489825 -0.0437807 9.49983e-05 0.0302819
-0.05 -0.0299924 -0.048906 -0.0306882 0.000111018 0.055179
-0.05 0.0415005 -0.0461801 0.0430894 3.30736e-05 0.00711037
0.0487049 -0.045513 0.05 -0.044689 8.06417e-05 0.100814
-0.05 -0.00877678 -0.043752 -0.0127503 2.93384e-05 0.00503313
-0.05 0.0282563 -0.0498682 0.0281304 9.39689e-05 0.0484123
-0.05 0.0205776 -0.046767 0.0192695 8.39527e-05 0.0500216
0.0490599 0.0294953 0.05 0.0289434 3.82297e-05 0.0340085
0.0429283 0.0469867 0.05 0.046622 3.09277e-05 0.0223717
-0.05 0.0460933 -0.0454404 0.043397 0.000395691 0.948371
-0.05 0.0312895 -0.0478601 0.0334032 7.04298e-05 0.0261635
-0.05 -0.0223847 -0.0496305 -0.0218149 6.2024e-05 0.01343
-0.05 -0.0217817 -0.0496305 -0.0218149 9.94754e-05 0.0632343
-0.05 -0.042295 -0.0415735 -0.0391628 5.9064e-05 0.0115359
