# time=10000
x1 y1 x2 y2 aperture velocity
-0.05 0 -0.049 0 0.0010003 9.99765e-07
-0.049 0 -0.048 0 0.00100026 9.99805e-07
-0.048 0 -0.047 0 0.00100022 9.99843e-07
-0.047 0 -0.046 0 0.00100019 9.99879e-07
-0.046 0 -0.045 0 0.00100015 9.99913e-07
-0.045 0 -0.044 0 0.00100012 9.99946e-07
-0.044 0 -0.043 0 0.00100009 9.99977e-07
-0.043 0 -0.042 0 0.00100006 1.00001e-06
-0.042 0 -0.041 0 0.00100003 1.00003e-06
-0.041 0 -0.04 0 0.001 1.00003e-06
-0.04 0 -0.039 0 0.001 1.00003e-06
-0.039 0 -0.038 0 0.001 1.00003e-06
-0.038 0 -0.037 0 0.001 1.00003e-06
-0.037 0 -0.036 0 0.001 1.00003e-06
-0.036 0 -0.035 0 0.001 1.00003e-06
-0.035 0 -0.034 0 0.001 1.00003e-06
-0.034 0 -0.033 0 0.001 1.00003e-06
-0.033 0 -0.032 0 0.001 1.00003e-06
-0.032 0 -0.031 0 0.001 1.00003e-06
-0.031 0 -0.03 0 0.001 1.00003e-06
-0.03 0 -0.029 0 0.001 1.00003e-06
-0.029 0 -0.028 0 0.001 1.00003e-06
-0.028 0 -0.027 0 0.001 1.00003e-06
-0.027 0 -0.026 0 0.001 1.00003e-06
-0.026 0 -0.025 0 0.001 1.00003e-06
-0.025 0 -0.024 0 0.001 1.00003e-06
-0.024 0 -0.023 0 0.001 1.00003e-06
-0.023 0 -0.022 0 0.001 1.00003e-06
-0.022 0 -0.021 0 0.001 1.00003e-06
-0.021 0 -0.02 0 0.001 1.00003e-06
-0.02 0 -0.019 0 0.001 1.00003e-06
-0.019 0 -0.018 0 0.001 1.00003e-06
-0.018 0 -0.017 0 0.001 1.00003e-06
-0.017 0 -0.016 0 0.001 1.00003e-06
-0.016 0 -0.015 0 0.001 1.00003e-06
-0.015 0 -0.014 0 0.001 1.00003e-06
-0.014 0 -0.013 0 0.001 1.00003e-06
-0.013 0 -0.012 0 0.001 1.00003e-06
-0.012 0 -0.011 0 0.001 1.00003e-06
-0.011 0 -0.01 0 0.001 1.00003e-06
-0.01 0 -0.009 0 0.001 1.00003e-06
-0.009 0 -0.008 0 0.001 1.00003e-06
-0.008 0 -0.007 0 0.001 1.00003e-06
-0.007 0 -0.006 0 0.001 1.00003e-06
-0.006 0 -0.005 0 0.001 1.00003e-06
-0.005 0 -0.004 0 0.001 1.00003e-06
-0.004 0 -0.003 0 0.001 1.00003e-06
-0.003 0 -0.002 0 0.001 1.00003e-06
-0.002 0 -0.001 0 0.001 1.00003e-06
-0.001 0 -8.67362e-19 0 0.001 1.00003e-06
0 0 0.001 0 0.001 1.00003e-06
0.001 0 0.002 0 0.001 1.00003e-06
0.002 0 0.003 0 0.001 1.00003e-06
0.003 0 0.004 0 0.001 1.00003e-06
0.004 0 0.005 0 0.001 1.00003e-06
0.005 0 0.006 0 0.001 1.00003e-06
0.006 0 0.007 0 0.001 1.00003e-06
0.007 0 0.008 0 0.001 1.00003e-06
0.008 0 0.009 0 0.001 1.00003e-06
0.009 0 0.01 0 0.001 1.00003e-06
0.01 0 0.011 0 0.001 1.00003e-06
0.011 0 0.012 0 0.001 1.00003e-06
0.012 0 0.013 0 0.001 1.00003e-06
0.013 0 0.014 0 0.001 1.00003e-06
0.014 0 0.015 0 0.001 1.00003e-06
0.015 0 0.016 0 0.001 1.00003e-06
0.016 0 0.017 0 0.001 1.00003e-06
0.017 0 0.018 0 0.001 1.00003e-06
0.018 0 0.019 0 0.001 1.00003e-06
0.019 0 0.02 0 0.001 1.00003e-06
0.02 0 0.021 0 0.001 1.00003e-06
0.021 0 0.022 0 0.001 1.00003e-06
0.022 0 0.023 0 0.001 1.00003e-06
0.023 0 0.024 0 0.001 1.00003e-06
0.024 0 0.025 0 0.001 1.00003e-06
0.025 0 0.026 0 0.001 1.00003e-06
0.026 0 0.027 0 0.001 1.00003e-06
0.027 0 0.028 0 0.001 1.00003e-06
0.028 0 0.029 0 0.001 1.00003e-06
0.029 0 0.03 0 0.001 1.00003e-06
0.03 0 0.031 0 0.001 1.00003e-06
0.031 0 0.032 0 0.001 1.00003e-06
0.032 0 0.033 0 0.001 1.00003e-06
0.033 0 0.034 0 0.001 1.00003e-06
0.034 0 0.035 0 0.001 1.00003e-06
0.035 0 0.036 0 0.001 1.00003e-06
0.036 0 0.037 0 0.001 1.00003e-06
0.037 0 0.038 0 0.001 1.00003e-06
0.038 0 0.039 0 0.001 1.00003e-06
0.039 0 0.04 0 0.001 1.00003e-06
0.04 0 0.041 0 0.001 1.00003e-06
0.041 0 0.042 0 0.001 1.00003e-06
0.042 0 0.043 0 0.001 1.00003e-06
0.043 0 0.044 0 0.001 1.00003e-06
0.044 0 0.045 0 0.001 1.00003e-06
0.045 0 0.046 0 0.001 1.00003e-06
0.046 0 0.047 0 0.001 1.00003e-06
0.047 0 0.048 0 0.001 1.00003e-06
0.048 0 0.049 0 0.001 1.00003e-06
0.049 0 0.05 0 0.001 1.00003e-06
