time,particle_id,x,y,mesh_index
10010,960,0.479027,0.295805,40
10010,963,0.399581,0.279916,40
10010,975,0.450072,0,39
10010,977,0.0289935,0.205799,40
10010,978,0.00248484,0.200497,40
10010,979,0.340375,0,39
10010,980,-0.0125247,0.187475,22
10010,982,-0.0255865,0.174413,22
10010,983,-0.0320951,0.167905,22
10010,984,0.422042,-0.082676,41
10010,985,0.344089,-0.0653531,41
10010,986,0.26618,-0.0480399,41
10010,987,0.370539,-0.0741078,27
10010,988,0.290808,-0.0535129,41
10010,989,0.0661382,0.00358436,20
10010,990,0.108211,-0.0164001,42
10010,991,0.0561173,0,25
10010,992,-0.0246462,0.0309746,19
10010,993,-0.206357,0.158729,18
10010,994,-0.115765,0.0368367,15
10010,995,-0.174835,0.0499633,15
10010,996,-0.233831,0.0630736,15
10010,997,-0.348429,0.130314,18
10010,998,-0.400134,0.140081,4
10010,999,-0.5,0.2,4
