time,particle_id,x,y,mesh_index,mesh_index_original
600,0,0.0047629,0,9,9
600,1,0.00384232,0,8,8
600,2,0.00385015,0,8,8
600,3,0.00374313,0,8,8
600,4,0.00383156,0,8,8
600,5,0.00286293,0,7,7
600,6,0.0028489,0,7,7
600,7,0.00274484,0,7,7
600,8,0.00286041,0,7,7
600,9,0.00284549,0,7,7
600,10,0.00187529,0,6,6
600,11,0.00185664,0,6,6
600,12,0.0018774,0,6,6
600,13,0.00159475,0,6,6
600,14,0.00186866,0,6,6
600,15,-4.52074e-05,0,4,4
600,16,0.000896301,0,5,5
600,17,0.000897391,0,5,5
600,18,0.000890053,0,5,5
600,19,9.00506e-05,0,5,5
600,20,-8.83376e-05,0,4,4
600,21,-8.89345e-05,0,4,4
600,22,-8.81722e-05,0,4,4
600,23,-8.78007e-05,0,4,4
600,24,-0.001,0,3,3
600,25,-0.00107224,0,3,3
600,26,-0.00107599,0,3,3
600,27,-0.00107239,0,3,3
600,28,-0.00107206,0,3,3
600,29,-0.00107243,0,3,3
600,30,-0.00205608,0,2,2
600,31,-0.00205589,0,2,2
600,32,-0.00205587,0,2,2
600,33,-0.00205571,0,2,2
600,34,-0.00205572,0,2,2
600,35,-0.00303845,0,1,1
600,36,-0.0030384,0,1,1
600,37,-0.00303841,0,1,1
600,38,-0.00303867,0,1,1
600,39,-0.0030384,0,1,1
600,40,-0.00401991,0,0,0
600,41,-0.00401991,0,0,0
600,42,-0.00401991,0,0,0
600,43,-0.00401991,0,0,0
600,44,-0.00401991,0,0,0
